algorithm,arrType,n,dominantOps
linearSearch,sorted,69,69
linearSearch,sortedInReverse,69,33
linearSearch,randomOrder,69,69
binarySearch,sorted,69,7
bubbleSort,sorted,69,68
bubbleSort,sortedInReverse,69,2346
bubbleSort,randomOrder,69,2310
insertSort,sorted,69,68
insertSort,sortedInReverse,69,2414
insertSort,randomOrder,69,1251
quickSort,sorted,69,137
quickSort,sortedInReverse,69,137
quickSort,randomOrder,69,95
linearSearch,sorted,70,62
linearSearch,sortedInReverse,70,40
linearSearch,randomOrder,70,70
binarySearch,sorted,70,3
bubbleSort,sorted,70,69
bubbleSort,sortedInReverse,70,2415
bubbleSort,randomOrder,70,2349
insertSort,sorted,70,69
insertSort,sortedInReverse,70,2484
insertSort,randomOrder,70,1285
quickSort,sorted,70,139
quickSort,sortedInReverse,70,139
quickSort,randomOrder,70,95
linearSearch,sorted,71,17
linearSearch,sortedInReverse,71,71
linearSearch,randomOrder,71,71
binarySearch,sorted,71,7
bubbleSort,sorted,71,70
bubbleSort,sortedInReverse,71,2485
bubbleSort,randomOrder,71,2449
insertSort,sorted,71,70
insertSort,sortedInReverse,71,2555
insertSort,randomOrder,71,1387
quickSort,sorted,71,141
quickSort,sortedInReverse,71,141
quickSort,randomOrder,71,93
linearSearch,sorted,72,9
linearSearch,sortedInReverse,72,72
linearSearch,randomOrder,72,51
binarySearch,sorted,72,3
bubbleSort,sorted,72,71
bubbleSort,sortedInReverse,72,2556
bubbleSort,randomOrder,72,2385
insertSort,sorted,72,71
insertSort,sortedInReverse,72,2627
insertSort,randomOrder,72,1320
quickSort,sorted,72,143
quickSort,sortedInReverse,72,143
quickSort,randomOrder,72,99
linearSearch,sorted,73,60
linearSearch,sortedInReverse,73,42
linearSearch,randomOrder,73,61
binarySearch,sorted,73,6
bubbleSort,sorted,73,72
bubbleSort,sortedInReverse,73,2628
bubbleSort,randomOrder,73,2600
insertSort,sorted,73,72
insertSort,sortedInReverse,73,2700
insertSort,randomOrder,73,1353
quickSort,sorted,73,145
quickSort,sortedInReverse,73,145
quickSort,randomOrder,73,101
linearSearch,sorted,74,70
linearSearch,sortedInReverse,74,32
linearSearch,randomOrder,74,74
binarySearch,sorted,74,4
bubbleSort,sorted,74,73
bubbleSort,sortedInReverse,74,2701
bubbleSort,randomOrder,74,2470
insertSort,sorted,74,73
insertSort,sortedInReverse,74,2774
insertSort,randomOrder,74,1313
quickSort,sorted,74,147
quickSort,sortedInReverse,74,147
quickSort,randomOrder,74,101
linearSearch,sorted,75,40
linearSearch,sortedInReverse,75,62
linearSearch,randomOrder,75,30
binarySearch,sorted,75,5
bubbleSort,sorted,75,74
bubbleSort,sortedInReverse,75,2775
bubbleSort,randomOrder,75,2739
insertSort,sorted,75,74
insertSort,sortedInReverse,75,2849
insertSort,randomOrder,75,1453
quickSort,sorted,75,149
quickSort,sortedInReverse,75,149
quickSort,randomOrder,75,103
linearSearch,sorted,76,42
linearSearch,sortedInReverse,76,60
linearSearch,randomOrder,76,76
binarySearch,sorted,76,4
bubbleSort,sorted,76,75
bubbleSort,sortedInReverse,76,2850
bubbleSort,randomOrder,76,2795
insertSort,sorted,76,75
insertSort,sortedInReverse,76,2925
insertSort,randomOrder,76,1455
quickSort,sorted,76,151
quickSort,sortedInReverse,76,151
quickSort,randomOrder,76,107
linearSearch,sorted,77,15
linearSearch,sortedInReverse,77,77
linearSearch,randomOrder,77,15
binarySearch,sorted,77,6
bubbleSort,sorted,77,76
bubbleSort,sortedInReverse,77,2926
bubbleSort,randomOrder,77,2890
insertSort,sorted,77,76
insertSort,sortedInReverse,77,3002
insertSort,randomOrder,77,1547
quickSort,sorted,77,153
quickSort,sortedInReverse,77,153
quickSort,randomOrder,77,103
linearSearch,sorted,78,63
linearSearch,sortedInReverse,78,39
linearSearch,randomOrder,78,78
binarySearch,sorted,78,7
bubbleSort,sorted,78,77
bubbleSort,sortedInReverse,78,3003
bubbleSort,randomOrder,78,2997
insertSort,sorted,78,77
insertSort,sortedInReverse,78,3080
insertSort,randomOrder,78,1792
quickSort,sorted,78,155
quickSort,sortedInReverse,78,155
quickSort,randomOrder,78,103
linearSearch,sorted,79,16
linearSearch,sortedInReverse,79,79
linearSearch,randomOrder,79,4
binarySearch,sorted,79,6
bubbleSort,sorted,79,78
bubbleSort,sortedInReverse,79,3081
bubbleSort,randomOrder,79,2910
insertSort,sorted,79,78
insertSort,sortedInReverse,79,3159
insertSort,randomOrder,79,1450
quickSort,sorted,79,157
quickSort,sortedInReverse,79,157
quickSort,randomOrder,79,107
linearSearch,sorted,80,2
linearSearch,sortedInReverse,80,80
linearSearch,randomOrder,80,80
binarySearch,sorted,80,5
bubbleSort,sorted,80,79
bubbleSort,sortedInReverse,80,3160
bubbleSort,randomOrder,80,3159
insertSort,sorted,80,79
insertSort,sortedInReverse,80,3239
insertSort,randomOrder,80,1673
quickSort,sorted,80,159
quickSort,sortedInReverse,80,159
quickSort,randomOrder,80,101
linearSearch,sorted,81,4
linearSearch,sortedInReverse,81,81
linearSearch,randomOrder,81,34
binarySearch,sorted,81,7
bubbleSort,sorted,81,80
bubbleSort,sortedInReverse,81,3240
bubbleSort,randomOrder,81,3149
insertSort,sorted,81,80
insertSort,sortedInReverse,81,3320
insertSort,randomOrder,81,1626
quickSort,sorted,81,161
quickSort,sortedInReverse,81,161
quickSort,randomOrder,81,111
linearSearch,sorted,82,25
linearSearch,sortedInReverse,82,77
linearSearch,randomOrder,82,82
binarySearch,sorted,82,4
bubbleSort,sorted,82,81
bubbleSort,sortedInReverse,82,3321
bubbleSort,randomOrder,82,3168
insertSort,sorted,82,81
insertSort,sortedInReverse,82,3402
insertSort,randomOrder,82,1653
quickSort,sorted,82,163
quickSort,sortedInReverse,82,163
quickSort,randomOrder,82,111
linearSearch,sorted,83,26
linearSearch,sortedInReverse,83,76
linearSearch,randomOrder,83,1
binarySearch,sorted,83,4
bubbleSort,sorted,83,82
bubbleSort,sortedInReverse,83,3403
bubbleSort,randomOrder,83,3367
insertSort,sorted,83,82
insertSort,sortedInReverse,83,3485
insertSort,randomOrder,83,2051
quickSort,sorted,83,165
quickSort,sortedInReverse,83,165
quickSort,randomOrder,83,109
linearSearch,sorted,84,79
linearSearch,sortedInReverse,84,23
linearSearch,randomOrder,84,84
binarySearch,sorted,84,4
bubbleSort,sorted,84,83
bubbleSort,sortedInReverse,84,3486
bubbleSort,randomOrder,84,3486
insertSort,sorted,84,83
insertSort,sortedInReverse,84,3569
insertSort,randomOrder,84,1769
quickSort,sorted,84,167
quickSort,sortedInReverse,84,167
quickSort,randomOrder,84,105
linearSearch,sorted,85,50
linearSearch,sortedInReverse,85,52
linearSearch,randomOrder,85,85
binarySearch,sorted,85,5
bubbleSort,sorted,85,84
bubbleSort,sortedInReverse,85,3570
bubbleSort,randomOrder,85,3555
insertSort,sorted,85,84
insertSort,sortedInReverse,85,3654
insertSort,randomOrder,85,1873
quickSort,sorted,85,169
quickSort,sortedInReverse,85,169
quickSort,randomOrder,85,119
linearSearch,sorted,86,45
linearSearch,sortedInReverse,86,57
linearSearch,randomOrder,86,86
binarySearch,sorted,86,5
bubbleSort,sorted,86,85
bubbleSort,sortedInReverse,86,3655
bubbleSort,randomOrder,86,3627
insertSort,sorted,86,85
insertSort,sortedInReverse,86,3740
insertSort,randomOrder,86,1968
quickSort,sorted,86,171
quickSort,sortedInReverse,86,171
quickSort,randomOrder,86,117
linearSearch,sorted,87,46
linearSearch,sortedInReverse,87,56
linearSearch,randomOrder,87,55
binarySearch,sorted,87,5
bubbleSort,sorted,87,86
bubbleSort,sortedInReverse,87,3741
bubbleSort,randomOrder,87,3636
insertSort,sorted,87,86
insertSort,sortedInReverse,87,3827
insertSort,randomOrder,87,1905
quickSort,sorted,87,173
quickSort,sortedInReverse,87,173
quickSort,randomOrder,87,117
linearSearch,sorted,88,87
linearSearch,sortedInReverse,88,15
linearSearch,randomOrder,88,88
binarySearch,sorted,88,6
bubbleSort,sorted,88,87
bubbleSort,sortedInReverse,88,3828
bubbleSort,randomOrder,88,3825
insertSort,sorted,88,87
insertSort,sortedInReverse,88,3915
insertSort,randomOrder,88,1848
quickSort,sorted,88,175
quickSort,sortedInReverse,88,175
quickSort,randomOrder,88,121
linearSearch,sorted,89,87
linearSearch,sortedInReverse,89,15
linearSearch,randomOrder,89,10
binarySearch,sorted,89,5
bubbleSort,sorted,89,88
bubbleSort,sortedInReverse,89,3916
bubbleSort,randomOrder,89,3880
insertSort,sorted,89,88
insertSort,sortedInReverse,89,4004
insertSort,randomOrder,89,1901
quickSort,sorted,89,177
quickSort,sortedInReverse,89,177
quickSort,randomOrder,89,123
linearSearch,sorted,90,79
linearSearch,sortedInReverse,90,23
linearSearch,randomOrder,90,90
binarySearch,sorted,90,3
bubbleSort,sorted,90,89
bubbleSort,sortedInReverse,90,4005
bubbleSort,randomOrder,90,3977
insertSort,sorted,90,89
insertSort,sortedInReverse,90,4094
insertSort,randomOrder,90,2093
quickSort,sorted,90,179
quickSort,sortedInReverse,90,179
quickSort,randomOrder,90,119
linearSearch,sorted,91,32
linearSearch,sortedInReverse,91,70
linearSearch,randomOrder,91,7
binarySearch,sorted,91,6
bubbleSort,sorted,91,90
bubbleSort,sortedInReverse,91,4095
bubbleSort,randomOrder,91,4004
insertSort,sorted,91,90
insertSort,sortedInReverse,91,4185
insertSort,randomOrder,91,2098
quickSort,sorted,91,181
quickSort,sortedInReverse,91,181
quickSort,randomOrder,91,127
linearSearch,sorted,92,55
linearSearch,sortedInReverse,92,47
linearSearch,randomOrder,92,92
binarySearch,sorted,92,6
bubbleSort,sorted,92,91
bubbleSort,sortedInReverse,92,4186
bubbleSort,randomOrder,92,4180
insertSort,sorted,92,91
insertSort,sortedInReverse,92,4277
insertSort,randomOrder,92,1897
quickSort,sorted,92,183
quickSort,sortedInReverse,92,183
quickSort,randomOrder,92,123
linearSearch,sorted,93,27
linearSearch,sortedInReverse,93,75
linearSearch,randomOrder,93,22
binarySearch,sorted,93,6
bubbleSort,sorted,93,92
bubbleSort,sortedInReverse,93,4278
bubbleSort,randomOrder,93,4268
insertSort,sorted,93,92
insertSort,sortedInReverse,93,4370
insertSort,randomOrder,93,2500
quickSort,sorted,93,185
quickSort,sortedInReverse,93,185
quickSort,randomOrder,93,139
linearSearch,sorted,94,55
linearSearch,sortedInReverse,94,47
linearSearch,randomOrder,94,27
binarySearch,sorted,94,7
bubbleSort,sorted,94,93
bubbleSort,sortedInReverse,94,4371
bubbleSort,randomOrder,94,4343
insertSort,sorted,94,93
insertSort,sortedInReverse,94,4464
insertSort,randomOrder,94,2265
quickSort,sorted,94,187
quickSort,sortedInReverse,94,187
quickSort,randomOrder,94,127
linearSearch,sorted,95,18
linearSearch,sortedInReverse,95,84
linearSearch,randomOrder,95,95
binarySearch,sorted,95,4
bubbleSort,sorted,95,94
bubbleSort,sortedInReverse,95,4465
bubbleSort,randomOrder,95,4420
insertSort,sorted,95,94
insertSort,sortedInReverse,95,4559
insertSort,randomOrder,95,2340
quickSort,sorted,95,189
quickSort,sortedInReverse,95,189
quickSort,randomOrder,95,129
linearSearch,sorted,96,39
linearSearch,sortedInReverse,96,63
linearSearch,randomOrder,96,11
binarySearch,sorted,96,5
bubbleSort,sorted,96,95
bubbleSort,sortedInReverse,96,4560
bubbleSort,randomOrder,96,4440
insertSort,sorted,96,95
insertSort,sortedInReverse,96,4655
insertSort,randomOrder,96,2299
quickSort,sorted,96,191
quickSort,sortedInReverse,96,191
quickSort,randomOrder,96,127
linearSearch,sorted,97,81
linearSearch,sortedInReverse,97,21
linearSearch,randomOrder,97,97
binarySearch,sorted,97,7
bubbleSort,sorted,97,96
bubbleSort,sortedInReverse,97,4656
bubbleSort,randomOrder,97,4635
insertSort,sorted,97,96
insertSort,sortedInReverse,97,4752
insertSort,randomOrder,97,2322
quickSort,sorted,97,193
quickSort,sortedInReverse,97,193
quickSort,randomOrder,97,129
linearSearch,sorted,98,96
linearSearch,sortedInReverse,98,6
linearSearch,randomOrder,98,98
binarySearch,sorted,98,7
bubbleSort,sorted,98,97
bubbleSort,sortedInReverse,98,4753
bubbleSort,randomOrder,98,4698
insertSort,sorted,98,97
insertSort,sortedInReverse,98,4850
insertSort,randomOrder,98,2298
quickSort,sorted,98,195
quickSort,sortedInReverse,98,195
quickSort,randomOrder,98,135
linearSearch,sorted,99,40
linearSearch,sortedInReverse,99,62
linearSearch,randomOrder,99,99
binarySearch,sorted,99,5
bubbleSort,sorted,99,98
bubbleSort,sortedInReverse,99,4851
bubbleSort,randomOrder,99,4806
insertSort,sorted,99,98
insertSort,sortedInReverse,99,4949
insertSort,randomOrder,99,2340
quickSort,sorted,99,197
quickSort,sortedInReverse,99,197
quickSort,randomOrder,99,131
linearSearch,sorted,100,57
linearSearch,sortedInReverse,100,45
linearSearch,randomOrder,100,2
binarySearch,sorted,100,6
bubbleSort,sorted,100,99
bubbleSort,sortedInReverse,100,4950
bubbleSort,randomOrder,100,4845
insertSort,sorted,100,99
insertSort,sortedInReverse,100,5049
insertSort,randomOrder,100,2838
quickSort,sorted,100,199
quickSort,sortedInReverse,100,199
quickSort,randomOrder,100,133
