algorithm,arrType,n,dominantOps
insertSort,randomOrder,14,59
quickSort,sorted,14,27
quickSort,sortedInReverse,14,27
quickSort,randomOrder,14,21
linearSearch,sorted,15,5
linearSearch,sortedInReverse,15,15
linearSearch,randomOrder,15,15
binarySearch,sorted,15,4
bubbleSort,sorted,15,14
bubbleSort,sortedInReverse,15,105
bubbleSort,randomOrder,15,95
insertSort,sorted,15,14
insertSort,sortedInReverse,15,119
insertSort,randomOrder,15,60
quickSort,sorted,15,29
quickSort,sortedInReverse,15,29
quickSort,randomOrder,15,19
linearSearch,sorted,16,10
linearSearch,sortedInReverse,16,16
linearSearch,randomOrder,16,16
binarySearch,sorted,16,3
bubbleSort,sorted,16,15
bubbleSort,sortedInReverse,16,120
bubbleSort,randomOrder,16,117
insertSort,sorted,16,15
insertSort,sortedInReverse,16,135
insertSort,randomOrder,16,103
quickSort,sorted,16,31
quickSort,sortedInReverse,16,31
quickSort,randomOrder,16,21
linearSearch,sorted,17,13
linearSearch,sortedInReverse,17,17
linearSearch,randomOrder,17,17
binarySearch,sorted,17,2
bubbleSort,sorted,17,16
bubbleSort,sortedInReverse,17,136
bubbleSort,randomOrder,17,121
insertSort,sorted,17,16
insertSort,sortedInReverse,17,152
insertSort,randomOrder,17,88
quickSort,sorted,17,33
quickSort,sortedInReverse,17,33
quickSort,randomOrder,17,23
linearSearch,sorted,18,2
linearSearch,sortedInReverse,18,18
linearSearch,randomOrder,18,18
binarySearch,sorted,18,3
bubbleSort,sorted,18,17
bubbleSort,sortedInReverse,18,153
bubbleSort,randomOrder,18,152
insertSort,sorted,18,17
insertSort,sortedInReverse,18,170
insertSort,randomOrder,18,82
quickSort,sorted,18,35
quickSort,sortedInReverse,18,35
quickSort,randomOrder,18,23
linearSearch,sorted,19,16
linearSearch,sortedInReverse,19,19
linearSearch,randomOrder,19,19
binarySearch,sorted,19,4
bubbleSort,sorted,19,18
bubbleSort,sortedInReverse,19,171
bubbleSort,randomOrder,19,170
insertSort,sorted,19,18
insertSort,sortedInReverse,19,189
insertSort,randomOrder,19,108
quickSort,sorted,19,37
quickSort,sortedInReverse,19,37
